동영상 ID,Song Title,Album Title,Artist Name 1,Artist Name 2
ZP3GFkEE93A,ブルーアンビエンス - Blue Ambience,Blue Ambience,Mrs. GREEN APPLE,asmi
N1XUt-ZcOf4,コロンブス - Columbus,Columbus,Mrs. GREEN APPLE,
NbKH4iZqq1Y,Drowning,OO-LI,WOODZ,
MT0xgNcOnsA,familie,familie,Mrs. GREEN APPLE,
rY3JFD52ipk,Hana,Hana,Fujii Kaze,
jWKp_eBNxuA,KICK BACK,KICK BACK,HUBOG,
tIKnAwgjHWU,春愁 - Shunshu,"Love Me, Love You",Mrs. GREEN APPLE,





